Country name,Year,Population,Population of children under the age of 1,Population of children under the age of 5,Population of children under the age of 15,Population under the age of 25,Population aged 15 to 64 years,Population older than 15 years,Population older than 18 years,Population at age 1,Population aged 1 to 4 years,Population aged 5 to 9 years,Population aged 10 to 14 years,Population aged 15 to 19 years,Population aged 20 to 29 years,Population aged 30 to 39 years,Population aged 40 to 49 years,Population aged 50 to 59 years,Population aged 60 to 69 years,Population aged 70 to 79 years,Population aged 80 to 89 years,Population aged 90 to 99 years,Population older than 100 years,population__all__20_24__records,population__all__25_29__records,population__all__30_34__records,population__all__35_39__records,population__all__40_44__records,population__all__45_49__records,population__all__50_54__records,population__all__55_59__records,population__all__60_64__records,population__all__65_69__records,population__all__70_74__records,population__all__75_79__records,population__all__80_84__records,population__all__85_89__records,population__all__90_94__records,population__all__95_99__records
Venezuela,1950,5488619,234564,1026290,2494996,3531887,2867940,2993603,2646410,214132,791726,804174,664532,560439,881821,635715,441620,266517,138005,55769,12725,992,20,476452,405369,344341,291374,243909,197711,152790,113727,81828,56177,35677,20092,9392,3333,834,158
Venezuela,1951,5732110,245636,1073246,2601174,3684897,3000496,3130900,2770143,224946,827610,838815,689113,583480,927013,665677,460456,278729,143520,57902,13035,1088,36,500243,426770,361358,304319,254083,206373,159800,118929,85141,58379,37045,20857,9664,3371,873,215
Venezuela,1952,5980388,258616,1124433,2714548,3842969,3130517,3265790,2891599,235722,865817,875442,714673,605730,970191,695564,479169,291254,149256,60126,13378,1122,50,522691,447500,378235,317329,264156,215013,166938,124316,88609,60647,38475,21651,9969,3409,876,246
Venezuela,1953,6233187,271039,1180329,2834676,4005918,3258128,3398453,3010754,248422,909290,912579,741768,627461,1011232,725326,497803,304031,155264,62457,13746,1133,58,543781,467451,394921,330405,274207,223596,174193,129838,92275,62989,39969,22488,10296,3450,879,254
Venezuela,1954,6490133,282784,1238079,2961065,4173507,3383466,3529008,3127850,260625,955295,951999,770987,648926,1050041,754914,516448,316962,161574,64883,14129,1131,60,563516,486525,411378,343536,284343,232105,181518,135444,96175,65399,41518,23365,10639,3490,883,248
Venezuela,1955,6752147,294072,1296209,3093274,4346019,3507667,3658813,3244135,272216,1002137,994462,802603,670656,1086813,784403,535287,330140,168322,67484,14582,1126,60,582089,504724,427633,356770,294681,240606,188968,141172,100368,67954,43173,24311,11032,3550,887,239
Venezuela,1956,7020082,305385,1354820,3230921,4523978,3631887,3789101,3360267,283394,1049435,1039621,836480,693163,1122001,813832,554404,343658,175517,70278,15122,1126,60,599894,522107,443687,370145,305283,249121,196575,147083,104829,70688,44951,25327,11491,3631,892,234
Venezuela,1957,7294509,317580,1412993,3374452,4708608,3756530,3919997,3475777,294629,1095413,1089168,872291,716820,1156046,843094,573773,357391,182956,73123,15684,1110,60,617336,538710,459471,383623,316130,257643,204218,153173,109406,73550,46766,26357,11977,3707,889,221
Venezuela,1958,7576744,329591,1471015,3523365,4900421,3883183,4053322,3592168,306756,1141424,1143659,908691,742241,1189480,872285,593642,371425,190736,76101,16312,1100,57,634815,554665,475019,397266,327292,266350,211893,159532,114110,76626,48657,27444,12517,3795,890,210
Venezuela,1959,7865132,338263,1526158,3673993,5096739,4013509,4191086,3711439,318719,1187895,1200366,947469,770056,1222778,901506,614278,385903,199036,79354,17077,1098,53,652690,570088,490374,411132,338843,275435,219672,166231,118988,80048,50696,28658,13142,3935,896,202
Venezuela,1960,8156941,343681,1575680,3822785,5294660,4148278,4334107,3834492,327467,1231999,1257782,989323,800465,1256466,930699,635756,400833,207874,82931,17981,1102,49,671410,585056,505488,425211,350777,284979,227570,173263,124059,83815,52909,30022,13847,4134,907,195
Venezuela,1961,8453112,349747,1620269,3970262,5494954,4288009,4482805,3961898,333080,1270522,1316018,1033975,833280,1291281,959806,658073,416191,217237,86825,18996,1116,45,691412,599869,520355,439451,363081,294992,235602,180589,129378,87859,55306,31519,14609,4387,925,191
Venezuela,1962,8754089,357108,1660416,4117572,5698650,4432400,4636476,4093284,339368,1303308,1374039,1083117,868112,1327802,988677,681084,431769,226967,90894,20038,1133,41,712966,614836,534941,453736,375684,305400,243747,188022,134956,92011,57833,33061,15369,4669,943,190
Venezuela,1963,9059957,364116,1696014,4265296,5905537,4581051,4794624,4229450,346990,1331898,1432016,1137266,903616,1366900,1017328,704782,447591,237020,95141,21097,1149,37,736625,630275,549286,468042,388577,316205,252129,195462,140834,96186,60519,34622,16130,4967,965,184
Venezuela,1964,9371338,370732,1729875,4410884,6115444,4736991,4960421,4371658,354293,1359143,1487321,1193688,941584,1409477,1045814,729214,463847,247441,99657,22216,1171,33,762976,646501,563428,482386,401786,327428,260926,202921,147055,100386,63432,36225,16939,5277,995,176
Venezuela,1965,9688144,377004,1764746,4552881,6327700,4901445,5135234,4520327,361243,1387742,1537228,1250907,982698,1456019,1074108,754340,480648,258291,104494,23424,1212,29,792121,663898,577400,496708,415285,339055,270221,210427,153632,104659,66588,37906,17827,5597,1043,169
Venezuela,1966,10010689,383185,1799899,4691288,6541801,5074622,5319376,4674808,367918,1416714,1582422,1308967,1026685,1506706,1102472,780142,498091,269658,109630,24717,1275,25,823828,682878,591471,511001,429046,351096,280041,218050,160526,109132,69936,39694,18790,5927,1111,164
Venezuela,1967,10338851,389231,1833896,4824088,6757054,5258352,5514741,4837330,374526,1444665,1623371,1366821,1075256,1561444,1131247,806535,516258,281563,115003,26079,1356,22,857710,703734,605973,525274,443008,363527,290370,225888,167612,113951,73380,41623,19809,6270,1195,161
Venezuela,1968,10672653,395058,1866924,4951513,6972823,5452364,5721120,5009190,381035,1471866,1659933,1424656,1128943,1619277,1160636,833452,535277,293982,120592,27505,1456,20,892367,726910,621139,539497,457127,376325,301189,234088,174779,119203,76855,43737,20873,6632,1292,164
Venezuela,1969,11011332,400483,1898994,5073734,7188220,5655884,5937579,5190057,387353,1498511,1694882,1479858,1184997,1682311,1190757,860765,555156,306764,126311,28957,1561,19,929489,752822,637158,553599,471334,389431,312414,242742,181898,124866,80284,46027,21940,7017,1391,170
